Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Engineering,55.36,78.54,99.85,97.37,96.15,5.300000000000001,86.83,29.2,Yes,Yes,Low,1,6.1
Mathematics,56.38,82.08,48.48,55.32,52.05,32.599999999999994,97.4,20.5,Yes,Yes,High,3,8.3
Business,59.18,46.28,45.88,94.77,99.19,86.5,84.14,27.9,Yes,No,Medium,4,8.0
CS,77.95,75.83,94.21,52.4,63.18,4.2,88.57,10.4,No,Yes,High,3,5.9
Engineering,86.07,94.19,40.65,94.7,73.99,51.1,73.25,13.3,Yes,Yes,Medium,8,8.7
Engineering,75.96,43.8,85.66,66.51,61.89,40.5,64.34,24.9,No,Yes,Medium,6,4.4
CS,81.1,48.27,67.85,75.5,61.81,69.7,70.36,7.7,Yes,No,High,2,8.8
CS,75.75,80.84,56.98,98.05,67.96,44.3,71.11,9.0,No,Yes,Low,1,5.1
Mathematics,65.76,56.54,74.25,91.31,72.34,77.30000000000001,64.65,7.8,Yes,Yes,High,6,5.6
CS,70.89,83.3,53.94,52.24,54.59,57.8,52.32,24.3,Yes,Yes,High,1,6.5
CS,65.36,40.2,55.9,79.82,68.88,89.2,54.53,5.5,No,No,Medium,5,7.9
Mathematics,70.54,62.02,87.87,59.47,63.82,41.6,96.18,10.9,No,Yes,Low,3,5.2
Mathematics,68.4,65.33,75.88,60.67,67.69,47.1,96.2,22.7,Yes,Yes,Medium,9,4.7
Business,66.6,45.82,79.41,81.29,69.96,95.8,77.58,28.8,No,Yes,Medium,3,6.9
CS,75.28,79.96,70.55,54.43,87.86,37.9,92.05,19.3,No,Yes,Medium,7,7.5
Engineering,96.09,89.24,71.55,98.27,65.23,61.4,87.25,18.7,Yes,No,Medium,6,5.9
Mathematics,76.87,84.53,69.97,84.9,72.62,29.1,88.8,26.6,No,No,High,10,5.0
CS,87.51,63.67,42.59,67.28,75.91,17.7,64.61,14.6,Yes,Yes,High,4,4.3
CS,94.25,57.64,86.6,78.96,73.43,75.9,63.2,7.8,Yes,Yes,High,7,8.4
CS,98.58,61.05,42.61,80.29,58.26,52.400000000000006,64.42,16.7,Yes,No,Low,8,5.3
CS,87.19,95.35,77.14,54.8,71.98,3.6,69.29,6.1,No,Yes,Low,9,7.4
Business,62.95,55.71,60.57,64.0,53.42,65.8,76.45,8.4,No,No,Low,6,5.5
Engineering,89.73,46.2,57.57,92.42,80.8,0.7000000000000001,52.67,9.1,Yes,No,Low,1,5.3
CS,63.12,57.17,48.45,71.01,93.47,20.0,73.76,19.6,No,Yes,Medium,2,5.6
Engineering,59.35,64.26,71.22,87.16,74.18,78.89999999999999,69.3,10.8,No,No,Medium,9,8.8
Mathematics,72.89,90.24,57.76,58.47,68.73,24.4,73.35,18.2,Yes,No,High,1,6.2
Business,69.65,68.17,97.4,53.2,53.66,43.3,93.89,22.7,Yes,Yes,High,1,8.9
Engineering,89.16,82.92,56.59,89.1,78.91,17.4,95.28,11.6,No,No,High,4,5.2
Mathematics,64.81,50.77,88.98,73.26,82.78,84.7,63.45,29.3,Yes,No,Medium,8,4.5
CS,54.57,80.51,47.99,58.94,79.19,34.900000000000006,59.01,27.6,No,No,Low,2,8.3
Engineering,70.98,80.12,89.96,76.7,74.92,99.0,69.92,26.7,No,Yes,High,9,7.3
CS,63.42,42.02,82.79,85.43,77.22,29.3,56.14,21.6,No,Yes,Medium,10,8.4
Business,77.19,46.15,46.92,59.05,73.43,21.200000000000003,64.73,25.7,No,No,Medium,6,5.0
Business,97.06,79.22,43.57,96.47,97.45,72.0,89.85,11.9,No,No,Low,5,4.3
Business,75.79,57.86,58.98,82.91,96.83,52.0,62.11,9.5,Yes,Yes,Low,10,5.0
Engineering,52.92,90.92,99.47,59.84,86.15,0.7000000000000001,83.92,19.8,Yes,Yes,Medium,6,7.5
CS,57.48,60.56,51.73,83.37,97.15,14.7,84.48,18.9,No,No,Medium,7,5.1
Engineering,57.77,85.75,98.36,68.93,92.4,44.900000000000006,65.94,10.7,Yes,No,Low,6,6.0
Engineering,91.79,92.63,98.49,95.53,64.65,25.4,62.69,22.8,Yes,No,Low,7,5.7
Mathematics,71.92,78.68,94.14,78.16,82.59,95.3,82.32,11.3,No,Yes,Medium,5,6.5
Engineering,58.11,56.74,82.35,53.48,66.75,54.2,54.41,21.3,No,No,Medium,5,8.9
Engineering,53.68,70.62,71.92,98.72,74.28,69.5,68.03,10.7,No,No,Medium,8,5.5
Engineering,71.39,98.28,86.35,69.91,78.39,24.1,75.32,27.7,No,Yes,Medium,9,5.6
Mathematics,96.54,89.59,44.1,70.56,94.58,19.0,99.83,23.6,Yes,Yes,Medium,2,5.4
CS,89.62,67.59,69.22,64.09,60.53,94.0,53.75,28.8,No,Yes,Medium,3,6.6
Business,69.03,69.63,76.33,76.9,67.36,50.3,52.73,28.7,No,Yes,Low,10,5.9
Mathematics,90.45,90.77,49.41,93.4,93.41,97.1,50.13,16.0,Yes,Yes,Medium,7,6.6
Business,64.05,84.6,83.31,75.07,86.65,56.7,70.92,19.5,No,Yes,High,3,7.0
Engineering,66.28,56.54,76.04,56.74,97.26,78.60000000000001,79.19,11.5,No,No,High,10,6.8
CS,64.08,62.79,96.99,79.21,55.76,3.8,83.56,25.3,Yes,Yes,Low,7,4.4
Mathematics,50.81,67.6,62.35,62.29,87.37,91.8,95.75,17.4,No,Yes,High,7,8.4
Engineering,67.29,59.16,54.07,96.82,63.24,51.7,91.98,15.9,No,No,Medium,6,4.1
CS,73.97,97.14,98.88,83.29,72.98,41.5,55.04,10.3,No,Yes,Low,9,7.3
CS,90.52,98.24,55.68,66.74,50.3,6.1,56.67,24.5,No,Yes,Low,3,4.2
Business,91.47,70.04,84.93,67.51,77.43,65.8,93.31,20.8,Yes,No,High,3,7.5
Engineering,96.6,68.39,93.72,80.14,78.22,47.0,86.88,21.8,No,No,Low,3,9.0
CS,83.53,59.86,40.27,59.78,80.73,92.3,84.03,16.8,No,No,Low,7,5.4
Mathematics,78.79,83.18,72.31,69.16,57.64,18.4,89.97,19.0,No,No,Medium,10,5.5
CS,82.28,96.02,68.83,57.25,92.26,74.5,72.3,16.4,No,No,Low,3,8.0
Engineering,50.62,96.95,95.19,80.94,63.31,30.7,79.48,19.6,Yes,Yes,Low,7,7.6
CS,83.07,87.83,99.97,92.06,99.38,24.700000000000003,88.7,14.9,No,Yes,Low,2,8.3
CS,95.06,48.53,83.79,70.58,83.93,50.3,67.89,17.2,Yes,No,Medium,8,7.2
Business,89.47,82.45,76.12,99.29,89.44,79.3,98.54,25.3,No,No,Medium,4,7.7
Mathematics,79.28,60.75,64.36,86.8,87.12,3.9,77.0,23.3,No,Yes,High,4,5.3
Business,55.54,67.13,78.59,96.47,90.57,14.9,96.86,28.7,No,Yes,High,6,5.2
CS,82.87,52.28,97.24,93.63,59.11,64.3,60.09,25.7,No,No,Medium,1,5.9
Engineering,63.69,85.16,66.11,63.9,55.93,32.5,90.64,24.8,Yes,Yes,Low,7,5.6
CS,60.4,49.56,92.91,80.44,84.57,66.8,83.34,17.4,No,Yes,Medium,8,7.4
Business,73.8,83.97,66.67,93.2,63.45,12.3,86.85,15.2,No,No,Low,5,6.3
CS,99.12,52.86,91.3,67.47,59.17,50.6,51.15,28.7,No,Yes,Medium,5,4.4
CS,59.05,54.13,60.34,96.9,98.37,49.0,71.22,8.2,Yes,No,Medium,7,5.6
CS,78.35,97.4,54.91,76.38,72.76,98.5,82.53,20.1,Yes,No,Medium,1,8.7
Mathematics,60.26,54.61,73.78,84.01,72.81,82.10000000000001,82.26,27.5,No,Yes,Low,1,5.0
Mathematics,69.9,94.76,89.6,61.08,70.78,8.6,54.79,14.7,Yes,No,Medium,6,6.9
CS,84.33,45.5,40.4,90.75,57.29,43.7,51.5,23.1,Yes,No,High,7,4.9
Engineering,84.15,87.36,86.91,95.81,77.81,97.4,74.43,8.0,Yes,No,Medium,4,5.4
Mathematics,78.6,99.64,43.28,98.36,60.57,59.1,64.25,9.5,Yes,Yes,High,1,7.8
Mathematics,71.28,60.44,97.0,93.57,84.14,5.0,65.14,26.7,Yes,Yes,High,2,5.3
CS,69.0,49.39,43.78,55.5,67.95,68.89999999999999,54.59,29.4,Yes,No,Medium,4,5.6
Mathematics,86.07,61.08,75.18,83.92,87.34,68.7,98.07,24.3,No,No,High,9,8.7
Mathematics,63.56,69.82,99.68,75.16,76.39,34.6,95.19,17.3,Yes,No,Medium,1,7.4
Engineering,83.54,86.58,52.64,68.91,70.26,9.2,53.0,27.2,Yes,No,Medium,8,5.6
Mathematics,61.71,76.09,79.13,51.03,98.34,95.5,69.17,6.9,No,Yes,Low,7,6.4
Mathematics,89.58,93.21,65.72,68.25,59.65,50.4,51.0,29.0,No,No,Low,3,4.4
CS,87.95,97.06,69.75,61.22,67.04,32.5,75.53,16.6,No,Yes,Medium,8,7.5
Mathematics,69.83,62.47,58.93,83.46,72.97,23.9,98.55,11.9,No,Yes,High,6,6.9
CS,76.02,62.69,51.6,63.65,50.85,34.2,65.37,6.7,Yes,Yes,Medium,4,4.5
Mathematics,75.91,97.72,91.67,54.56,57.23,52.7,56.94,27.8,Yes,No,Medium,4,7.1
CS,59.5,94.97,72.56,80.06,69.1,52.3,90.49,6.2,Yes,Yes,Medium,6,4.8
Engineering,92.96,72.84,76.76,92.19,90.23,50.9,61.57,5.4,No,No,Low,4,6.4
CS,88.88,87.82,60.27,68.01,90.56,61.4,83.1,16.1,No,No,High,8,5.6
CS,65.26,84.51,86.83,58.35,50.73,20.2,62.59,6.9,Yes,No,High,8,5.6
Mathematics,71.93,90.19,47.95,50.98,53.23,92.3,61.83,12.6,Yes,Yes,High,8,7.0
Engineering,89.74,99.76,50.96,54.64,82.37,31.0,57.48,8.9,Yes,No,Low,10,7.5
Business,74.6,80.42,72.57,78.27,66.38,88.6,84.45,23.1,No,Yes,Medium,4,8.1
Business,62.19,42.06,95.18,95.58,72.34,97.3,98.0,17.3,Yes,Yes,High,3,5.0
CS,90.01,74.42,42.96,73.14,57.47,38.9,50.4,13.3,Yes,Yes,Low,10,6.2
Business,80.72,61.08,98.03,98.61,87.78,25.0,66.72,9.5,No,Yes,High,8,5.5
Mathematics,86.39,61.05,91.45,54.4,87.96,38.0,62.31,23.7,No,No,Low,1,6.5
Engineering,91.74,60.93,66.78,65.56,82.16,49.7,93.58,8.5,Yes,Yes,High,6,6.1
Business,96.61,65.31,82.43,92.9,73.87,76.2,61.24,12.6,Yes,Yes,Low,9,7.6
Mathematics,87.22,43.21,54.96,56.81,96.59,47.0,68.86,22.6,No,Yes,High,6,6.1
CS,74.48,60.46,77.67,52.25,62.57,61.900000000000006,52.33,23.8,Yes,Yes,Medium,4,5.1
Business,68.62,90.11,90.43,89.9,87.26,40.2,97.51,12.9,No,Yes,Low,8,5.9
Mathematics,67.96,74.11,54.53,72.86,65.49,60.0,66.29,19.9,No,No,Low,8,6.1
Business,57.24,55.12,70.66,99.43,92.47,21.200000000000003,89.7,18.1,No,No,Low,10,5.3
Engineering,97.42,94.97,62.78,97.87,64.74,52.7,82.07,29.1,No,Yes,High,7,6.5
Engineering,94.86,66.99,67.0,56.93,50.42,10.1,73.99,12.9,No,No,High,3,5.5
Business,52.77,71.04,65.47,68.91,94.12,39.8,87.44,6.4,No,Yes,High,6,5.5
CS,87.55,61.51,55.82,55.51,80.78,53.5,61.71,20.0,Yes,Yes,High,1,7.1
Engineering,62.29,79.76,49.0,85.68,75.14,85.3,94.93,19.7,Yes,No,Medium,9,4.9
CS,65.05,84.06,59.42,97.41,93.33,54.6,59.49,6.8,No,No,Medium,7,8.0
Business,89.9,42.71,55.12,82.31,82.39,92.1,51.51,22.4,Yes,Yes,Low,5,8.8
CS,76.86,74.75,50.55,79.46,89.06,57.400000000000006,72.95,25.4,Yes,No,High,4,5.8
CS,81.38,96.53,93.45,75.57,54.8,13.1,51.62,8.9,No,Yes,Medium,8,8.0
CS,79.45,86.01,95.96,65.92,53.3,13.1,61.95,22.8,Yes,Yes,High,4,7.0
Business,55.38,64.95,93.97,63.41,51.32,88.0,91.1,16.3,No,No,Medium,4,7.4
Engineering,65.44,77.08,56.41,83.05,67.13,20.5,82.06,11.7,No,Yes,Low,3,8.7
CS,83.5,81.79,97.69,90.21,82.57,33.4,87.61,25.9,No,Yes,Low,7,6.8
Business,69.76,48.32,99.67,70.58,69.02,13.5,87.47,16.0,Yes,Yes,High,6,5.1
Mathematics,77.31,48.77,46.78,97.31,54.92,37.3,65.73,12.8,Yes,No,Low,6,7.4
Mathematics,96.72,95.79,83.71,67.17,74.21,33.6,79.13,12.6,No,No,Medium,3,5.8
Engineering,71.16,92.49,51.24,83.42,80.43,0.8,92.51,7.1,No,Yes,Medium,5,4.8
Business,76.27,94.78,97.56,63.15,88.09,7.7,99.17,11.5,Yes,No,Low,10,6.6
Engineering,78.14,79.68,70.95,97.46,96.97,95.0,60.65,18.4,Yes,No,High,5,8.1
Mathematics,90.41,42.9,65.8,64.56,56.73,0.8,94.31,20.0,Yes,No,Medium,10,7.8
CS,55.55,70.8,80.73,84.33,95.11,12.2,68.07,14.6,Yes,Yes,Medium,1,6.7
Engineering,53.84,44.94,78.85,52.89,52.55,1.1,62.22,26.0,No,No,High,1,4.1
Engineering,92.43,41.05,57.78,50.49,52.94,17.9,60.81,24.0,Yes,Yes,Medium,9,7.8
Mathematics,59.35,95.43,98.77,57.11,66.07,87.89999999999999,82.29,20.4,Yes,No,Medium,7,8.3
Business,62.08,77.08,89.64,83.15,59.59,61.4,99.26,27.1,No,Yes,Low,5,6.7
Business,81.8,51.0,53.34,87.65,61.71,79.9,57.11,12.6,No,Yes,High,7,5.7
Business,98.88,90.67,66.64,55.86,79.99,15.1,85.29,22.6,Yes,Yes,Low,8,7.4
Business,93.04,47.74,96.11,54.39,55.1,83.10000000000001,81.02,16.2,No,Yes,Low,4,8.6
CS,69.83,83.57,69.67,87.94,69.44,58.2,86.07,15.2,No,No,Medium,5,6.2
Engineering,55.52,44.49,48.61,63.63,84.33,89.3,51.52,7.8,No,No,Medium,10,8.2
CS,57.99,73.64,87.51,95.0,87.87,34.2,84.21,6.7,Yes,Yes,Low,1,7.3
CS,63.36,76.62,59.79,65.01,53.83,45.6,74.69,11.1,Yes,Yes,Low,1,6.1
Engineering,51.24,85.09,53.37,67.16,51.81,80.39999999999999,90.27,14.0,Yes,No,High,7,6.0
Engineering,84.36,53.78,81.56,56.12,56.74,3.0,88.62,12.1,No,No,Low,10,4.7
Business,86.96,90.9,66.22,53.59,87.91,81.4,97.97,13.0,Yes,No,Low,6,7.0
Mathematics,79.47,89.02,98.96,82.88,84.61,71.0,97.27,16.2,Yes,No,High,10,7.5
Mathematics,99.5,99.06,42.15,92.83,85.94,49.5,58.08,28.2,Yes,Yes,High,8,8.8
Mathematics,86.2,72.51,43.28,64.7,64.72,29.1,78.77,27.4,Yes,Yes,High,9,8.6
Mathematics,70.78,87.86,95.75,89.4,77.5,57.0,76.03,23.5,Yes,Yes,Medium,5,6.5
Mathematics,75.76,55.36,96.84,84.71,86.98,32.2,90.95,11.9,Yes,Yes,High,6,8.9
Engineering,65.18,92.15,47.7,61.88,99.8,43.3,91.43,12.8,Yes,No,Low,8,5.3
Business,82.55,95.63,95.96,95.96,61.56,76.0,90.94,21.5,No,No,Medium,9,4.1
Business,55.96,65.8,60.67,50.96,54.99,93.0,55.99,23.5,Yes,No,Low,1,7.9
Business,60.29,82.11,47.15,84.88,52.14,89.39999999999999,54.19,20.5,No,No,High,6,7.5
CS,60.1,80.9,81.91,93.14,58.1,69.7,73.46,6.9,Yes,No,Low,3,5.7
CS,88.38,86.81,95.19,71.18,62.26,58.1,63.91,20.0,Yes,Yes,Medium,1,8.7
CS,67.1,57.8,64.23,65.94,73.79,34.0,64.97,28.8,Yes,Yes,Medium,6,6.8
Business,94.89,46.93,78.2,66.16,54.14,8.8,52.94,8.7,Yes,Yes,Low,7,8.8
Mathematics,78.28,64.34,44.02,66.77,66.54,82.30000000000001,82.74,16.1,No,Yes,High,1,6.4
Engineering,60.86,91.24,57.83,75.19,82.63,57.3,50.96,6.3,Yes,Yes,Medium,1,8.6
Engineering,92.99,54.23,73.46,67.92,55.93,29.3,84.95,16.8,Yes,Yes,Low,3,8.6
Engineering,88.42,64.04,79.29,80.42,68.98,41.0,65.56,10.3,Yes,No,Low,2,8.5
CS,75.31,85.23,43.11,82.26,55.1,23.700000000000003,50.03,19.4,Yes,No,Low,5,6.2
CS,84.23,91.78,65.31,87.65,92.06,18.8,58.99,8.8,No,No,Low,6,4.1
Engineering,66.76,69.9,61.22,93.82,61.18,91.5,80.97,5.2,No,Yes,Low,2,7.6
Business,64.25,78.92,62.12,74.92,92.2,55.6,62.17,24.2,No,Yes,Low,8,4.7
Mathematics,56.65,52.04,82.98,87.42,67.54,34.7,65.23,10.1,Yes,No,High,9,7.3
Engineering,69.07,95.8,72.61,74.09,92.52,67.9,99.7,17.3,No,Yes,Low,8,8.0
CS,69.08,69.91,44.14,77.41,87.63,19.8,96.58,6.0,Yes,Yes,High,5,5.4
CS,60.93,72.36,52.55,90.93,95.08,77.8,65.21,6.6,Yes,Yes,High,10,7.4
Engineering,94.11,45.41,66.57,56.48,77.42,5.1,81.55,20.1,No,Yes,Medium,2,7.8
Business,96.54,76.68,92.99,85.83,61.28,69.3,53.91,7.4,No,Yes,High,7,4.1
CS,54.8,46.32,79.83,95.03,84.87,81.0,71.79,9.6,Yes,Yes,High,5,4.8
CS,71.46,51.44,60.48,85.14,94.92,27.9,52.84,11.6,No,Yes,High,7,8.9
Engineering,59.61,89.09,69.49,88.33,58.14,15.9,91.33,18.8,No,Yes,Medium,2,6.5
Mathematics,88.6,57.34,67.36,51.8,59.21,60.7,73.45,10.7,Yes,No,Low,2,6.6
Business,86.11,79.57,75.58,79.45,52.57,98.1,67.94,13.5,Yes,Yes,High,3,8.0
Mathematics,81.6,44.8,75.08,91.32,80.87,84.60000000000001,84.08,6.4,No,No,Medium,6,5.1
CS,93.0,58.13,86.31,58.17,90.95,76.2,63.93,22.8,Yes,No,Low,7,6.2
Business,80.14,63.02,54.94,81.2,90.86,73.0,75.64,6.2,No,No,High,8,6.6
Mathematics,88.93,73.73,90.57,56.18,96.57,24.4,80.09,18.2,Yes,Yes,Medium,5,7.9
Mathematics,80.95,77.43,68.01,62.61,89.57,16.200000000000003,80.95,12.8,No,No,Medium,6,7.6
Engineering,66.14,88.52,40.36,83.78,63.62,79.6,99.5,16.7,Yes,No,Medium,10,6.5
Business,89.54,45.9,75.7,89.35,80.58,76.9,96.66,14.1,No,No,Medium,10,6.8
Engineering,70.89,70.65,79.46,60.87,72.3,95.1,51.62,14.6,Yes,Yes,High,4,4.6
Engineering,57.93,72.11,82.7,91.75,87.7,89.9,51.8,20.6,Yes,Yes,High,7,4.4
CS,86.46,75.75,78.07,96.93,70.87,2.2,99.5,12.2,Yes,Yes,Low,2,7.9
Business,54.63,67.32,98.72,95.05,93.62,49.7,61.51,25.5,No,No,Low,6,4.9
Mathematics,78.82,42.29,90.66,86.3,67.91,59.1,61.39,25.9,No,No,High,2,8.3
Business,88.57,44.96,98.99,56.11,97.97,93.2,91.08,6.3,Yes,No,Low,3,7.5
Business,52.9,84.2,47.22,64.81,72.71,37.7,57.15,27.1,No,No,Medium,5,4.7
Mathematics,79.47,89.19,58.15,70.78,91.92,84.7,61.05,6.9,Yes,Yes,High,1,4.6
Engineering,66.2,42.79,43.19,60.3,94.45,87.2,66.58,19.4,Yes,Yes,Medium,3,6.8
Engineering,67.45,79.88,46.4,77.93,79.17,62.400000000000006,59.95,26.1,No,Yes,Low,9,6.0
Mathematics,76.48,86.65,88.18,76.58,65.21,47.9,83.46,15.0,Yes,No,Low,5,5.3
Engineering,88.42,93.55,49.65,95.44,93.04,2.7,61.13,15.6,No,Yes,High,2,6.2
CS,82.87,64.55,46.54,86.07,90.02,70.1,88.97,8.6,Yes,No,Low,4,8.1
CS,83.43,79.84,92.81,95.69,71.3,44.1,56.94,15.5,No,No,Low,6,5.5
CS,74.31,96.12,76.27,86.32,57.99,85.1,66.4,9.3,Yes,No,Medium,5,8.9
Engineering,54.86,88.05,74.69,68.67,70.07,56.5,62.22,22.8,Yes,No,Medium,3,6.1
Mathematics,51.01,70.67,73.69,68.01,80.46,66.8,69.73,24.1,No,No,Low,5,5.2
Engineering,89.79,42.12,94.59,99.09,68.71,43.1,73.82,13.1,No,No,Medium,5,8.2
Mathematics,78.53,49.7,79.22,85.8,51.4,59.6,93.14,26.0,No,No,Medium,1,6.7
Mathematics,94.36,99.0,67.98,85.66,75.13,29.700000000000003,90.57,16.3,Yes,Yes,Medium,4,6.6
Mathematics,67.25,72.57,88.07,54.32,72.0,5.4,98.1,22.7,No,No,Low,5,8.1
CS,54.57,80.93,78.59,88.03,74.97,21.200000000000003,69.3,8.7,Yes,Yes,High,10,6.5
Mathematics,85.74,76.45,76.97,93.8,57.3,94.1,95.13,5.1,Yes,No,High,6,7.0
Business,82.44,50.23,62.06,96.03,79.9,97.1,93.8,20.2,No,No,Medium,2,7.9
Mathematics,88.97,45.19,54.49,57.06,55.77,99.2,63.88,18.8,Yes,No,High,10,8.7
Engineering,74.43,61.01,93.36,82.94,59.72,30.3,75.29,11.8,Yes,Yes,Low,2,4.8
Business,95.91,76.11,89.67,83.83,89.27,73.5,94.02,26.3,Yes,No,High,9,6.5
Engineering,53.43,84.68,64.07,88.69,50.29,73.1,67.6,20.1,Yes,Yes,High,5,5.8
Business,81.97,84.69,93.4,84.23,52.6,46.3,63.79,28.2,Yes,No,High,9,6.8
Engineering,97.17,88.3,85.72,73.31,64.39,43.3,59.37,26.7,No,No,Low,8,8.9
Business,86.53,60.55,91.83,86.92,56.33,64.7,68.48,16.3,No,Yes,High,10,4.0
Engineering,85.99,53.3,43.13,57.44,96.72,93.6,54.52,23.7,No,Yes,Low,9,8.7
Mathematics,72.97,64.11,89.23,81.41,81.31,79.6,96.65,25.4,Yes,No,Medium,10,5.7
Engineering,55.73,49.04,77.64,90.18,55.02,6.2,84.85,18.9,No,Yes,Low,6,7.1
